text,label
"I spent a long time begging God to kill me every day before I got out of bed. One day I decided I hate that I can't openly andhonestly answer that question, ""how are you"". So the next person that asked me was a berista. I answered, extremely depressed. She looked at me shocked. Don't do that, she tells me.",High
Physical activity is a great strategy to help with stress. I love connecting with nature while hiking.,Medium
You missed a perfect opportunity for explaining how a timing belt on a BMW as opposed to a Toyota will usually lead to a nervous breakdown.,High
i searched this up because online school,Medium
"This was perfect for today, thank you! :)",Low
Cove looks very interesting im gonna start using it from now. Thank u lena for this motivation,Low
"I don't usually get panic attacks, but my last one was also scary and I didn't really know what to do or what to think, it felt like I had 100 different thoughts at the same time",High
By doing it while anxious with out trying to stop it completely letting the worst happen over time the amygdala clocks on that there is no danger because your not avoiding your trying to fix the feeling your just allowing it and carry on willfully tolerating it so over time it settles down hope this helps as someone who has spoken to Josh a few times and followed his therapy model trust me it works,High
"I usually don't stay focused for more than 10 minutes, scrolling and getting lost in my thoughts. Thanks to your videos I can work without feeling tired or anxious. This is my first session of the day but I feel ready to do one more!",Low
I just vommited beacuse of stress,Medium
Can relate. The last years of school my only motivation came from panic over failing. Only could work under stress. The problem is that once you stop caring you cant study at all anymore.,Medium
It's rare to find someone doing such important work in the mental health field. Dr.hansenrosario is a true visionary.,Medium
"Sadly that is the case in most places. I think the pandemic has kind of made people more aware of the seriousness of mental health issues when many people had to drastically alter their lives and adjust to the regulations. But still most companies and elder generations don’t fully understand and have the empathy or compassion for those who are open. With my old work place I fell into such a deep depression and needed to take many “sick” days. You weren’t guaranteed time off for vacation unless you planned it a months out. I ended up using nearly all my annual sick leave within just five months. If I asked for a personal day, I knew they would try to convince me to come in anyway since they were so frugal even with vacation. And the company one has one personal day allotted annually.",High
